+-------------------------------+------------------------------------------------------------------------------+---------+----------+---------+-----------+------------------------------------------------------+--------+-------------------------------------------+
*** WARNING ***
The block and item IDs are dynamic and will be different on each world!
DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)
*** ALSO ***
The server doesn't have a list of sub block and sub items
(= items with different damage value or blocks with different metadata).
That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.
NOTE: The metadata value displayed is from the ItemStacks from getSubBlocks(), it's NOT necessarily the metadata value in world!!
NOTE: For blocks, Subtypes = true is only based on the number of returned ItemStacks from getSubBlocks() being > 1
NOTE: For blocks, Subtypes = ? means that Item.getItemFromBlock(block) returned null or the command was run on the server side
The Exists column indicates whether the block currently exists in the game,
or is just a placeholder dummy air block for a remove block read from the block ID map in the level.dat file
+-------------------------------+------------------------------------------------------------------------------+---------+----------+---------+-----------+------------------------------------------------------+--------+-------------------------------------------+
| Mod name                      | Registry name                                                                | BlockID | Subtypes | Item ID | Item meta | Display name                                         | Exists | Ore Dict keys                             |
+-------------------------------+------------------------------------------------------------------------------+---------+----------+---------+-----------+------------------------------------------------------+--------+-------------------------------------------+
| 1.13 Water Mechanics Backport | 113_water_mechanics:downwards_bubble_column                                  |    1883 |    false |         |           | tile.Downwards Bubble Column.name                    | true   |                                           |
| 1.13 Water Mechanics Backport | 113_water_mechanics:upwards_bubble_column                                    |    1884 |    false |         |           | tile.Upwards Bubble Column.name                      | true   |                                           |
| Apotheosis                    | apotheosis:hellshelf                                                         |    1886 |    false |    6275 |         0 | Hellshelf                                            | true   |                                           |
| Apotheosis                    | apotheosis:prismatic_altar                                                   |    1887 |    false |    6286 |         0 | Altar of the Sea                                     | true   |                                           |
| Better Farmland               | betterfarmland:cropvacuum                                                    |     631 |    false |    5025 |         0 | Crop Vacuum                                          | true   |                                           |
| Better Farmland               | betterfarmland:farmland_128                                                  |     637 |    false |    5031 |         0 | Emerald Soil                                         | true   |                                           |
| Better Farmland               | betterfarmland:farmland_16                                                   |     634 |    false |    5028 |         0 | Iron Soil                                            | true   |                                           |
| Better Farmland               | betterfarmland:farmland_2                                                    |     632 |    false |    5026 |         0 | Base Soil                                            | true   |                                           |
| Better Farmland               | betterfarmland:farmland_256                                                  |     638 |    false |    5032 |         0 | Nether Star Soil                                     | true   |                                           |
| Better Farmland               | betterfarmland:farmland_32                                                   |     635 |    false |    5029 |         0 | Gold Soil                                            | true   |                                           |
| Better Farmland               | betterfarmland:farmland_64                                                   |     636 |    false |    5030 |         0 | Diamond Soil                                         | true   |                                           |
| Better Farmland               | betterfarmland:farmland_8                                                    |     633 |    false |    5027 |         0 | Stone Soil                                           | true   |                                           |
