+------------------------------------------+-----------------------------------------+-------------+-----------+-----+
| Registry name                            | Name                                    | Type        | Rarity    |  ID |
+------------------------------------------+-----------------------------------------+-------------+-----------+-----+
| apotheosis:berserk                       | enchantment.apotheosis.berserk          | ARMOR       | VERY_RARE |  79 |
| apotheosis:capturing                     | enchantment.spw.capturing               | WEAPON      | VERY_RARE |  85 |
| apotheosis:depth_miner                   | enchantment.apotheosis.depth_miner      | DIGGER      | RARE      |  69 |
| apotheosis:hell_infusion                 | enchantment.apotheosis.hell_infusion    | WEAPON      | VERY_RARE |  67 |
| apotheosis:icy_thorns                    | enchantment.apotheosis.icy_thorns       | ARMOR_CHEST | RARE      |  75 |
| apotheosis:knowledge                     | enchantment.apotheosis.knowledge        | WEAPON      | RARE      |  80 |
| apotheosis:life_mending                  | enchantment.apotheosis.life_mending     | BREAKABLE   | VERY_RARE |  74 |
| apotheosis:magic_protection              | enchantment.apotheosis.magic_protection | ARMOR       | UNCOMMON  |  84 |
| apotheosis:mounted_strike                | enchantment.apotheosis.mounted_strike   | WEAPON      | RARE      |  68 |
| apotheosis:natures_blessing              | enchantment.apotheosis.natures_blessing | <null>      | RARE      |  82 |
| apotheosis:rebounding                    | enchantment.apotheosis.rebounding       | ARMOR       | RARE      |  83 |
| apotheosis:reflective                    | enchantment.apotheosis.reflective       | <null>      | RARE      |  78 |
| apotheosis:scavenger                     | enchantment.apotheosis.scavenger        | WEAPON      | VERY_RARE |  73 |
| apotheosis:shield_bash                   | enchantment.apotheosis.shield_bash      | <null>      | RARE      |  77 |
| apotheosis:splitting                     | enchantment.apotheosis.splitting        | <null>      | RARE      |  81 |
| apotheosis:stable_footing                | enchantment.apotheosis.stable_footing   | ARMOR_FEET  | RARE      |  72 |
| apotheosis:tempting                      | enchantment.apotheosis.tempting         | <null>      | UNCOMMON  |  76 |
| apotheosis:true_infinity                 | enchantment.apotheosis.true_infinity    | BOW         | VERY_RARE |  86 |
| bibliocraft:bibliocraft.deathcompassench | Eternal Compass                         | ALL         | VERY_RARE |  58 |
| bibliocraft:bibliocraft.readingench      | Reading                                 | ARMOR_HEAD  | UNCOMMON  |  59 |
| charm:clumsiness_curse                   | charm.enchantment.clumsiness_curse      | WEAPON      | VERY_RARE |  89 |
| charm:curse_break                        | charm.enchantment.curse_break           | BREAKABLE   | RARE      |  87 |
| charm:harming_curse                      | charm.enchantment.harming_curse         | ALL         | VERY_RARE |  91 |
| charm:haunting_curse                     | charm.enchantment.haunting_curse        | WEAPON      | VERY_RARE |  90 |
| charm:homing                             | charm.enchantment.homing                | BREAKABLE   | RARE      |  92 |
| charm:magnetic                           | charm.enchantment.magnetic              | DIGGER      | RARE      |  93 |
| charm:rusting_curse                      | charm.enchantment.rusting_curse         | ALL         | VERY_RARE |  88 |
| charm:salvage                            | charm.enchantment.salvage               | BREAKABLE   | COMMON    |  94 |
| cofhcore:holding                         | enchantment.cofhcore.holding            | ALL         | UNCOMMON  |  95 |
| cofhcore:insight                         | enchantment.cofhcore.insight            | DIGGER      | UNCOMMON  |  96 |
| cofhcore:leech                           | enchantment.cofhcore.leech              | WEAPON      | UNCOMMON  |  97 |
| cofhcore:multishot                       | enchantment.cofhcore.multishot          | BOW         | UNCOMMON  |  98 |
| cofhcore:smashing                        | enchantment.cofhcore.smashing           | DIGGER      | RARE      |  99 |
| cofhcore:smelting                        | enchantment.cofhcore.smelting           | DIGGER      | RARE      | 100 |
| cofhcore:soulbound                       | enchantment.cofhcore.soulbound          | ALL         | UNCOMMON  | 101 |
| cofhcore:vorpal                          | enchantment.cofhcore.vorpal             | WEAPON      | RARE      | 102 |
| minecraft:aqua_affinity                  | enchantment.waterWorker                 | ARMOR_HEAD  | RARE      |   6 |
| minecraft:bane_of_arthropods             | enchantment.damage.arthropods           | WEAPON      | UNCOMMON  |  18 |
| minecraft:binding_curse                  | enchantment.binding_curse               | WEARABLE    | VERY_RARE |  10 |
| minecraft:blast_protection               | enchantment.protect.explosion           | ARMOR       | RARE      |   3 |
| minecraft:depth_strider                  | enchantment.waterWalker                 | ARMOR_FEET  | RARE      |   8 |
| minecraft:efficiency                     | enchantment.digging                     | DIGGER      | COMMON    |  32 |
| minecraft:feather_falling                | enchantment.protect.fall                | ARMOR_FEET  | UNCOMMON  |   2 |
| minecraft:fire_aspect                    | enchantment.fire                        | WEAPON      | RARE      |  20 |
| minecraft:fire_protection                | enchantment.protect.fire                | ARMOR       | UNCOMMON  |   1 |
| minecraft:flame                          | enchantment.arrowFire                   | BOW         | RARE      |  50 |
| minecraft:fortune                        | enchantment.lootBonusDigger             | DIGGER      | RARE      |  35 |
| minecraft:frost_walker                   | enchantment.frostWalker                 | ARMOR_FEET  | RARE      |   9 |
