+------------------------+-----------------------------------+-----------------------------+-----+
| Mod name               | Registry name                     | Entity class name           |  ID |
+------------------------+-----------------------------------+-----------------------------+-----+
| Advanced Fishing       | advanced-fishing:custom_fish_hook | EntityCustomFishHook        |   0 |
| Advanced Fishing       | advanced-fishing:fireproof_item   | EntityFireproofItem         |   2 |
| Advanced Fishing       | advanced-fishing:lava_fish_hook   | EntityLavaFishHook          |   1 |
| Better Nether          | betternether:firefly              | EntityFirefly               |   0 |
| BiblioCraft            | bibliocraft:biblioseat            | EntitySeat                  |   0 |
| Charm                  | charm:charged_emerald             | EntityChargedEmerald        |   1 |
| Charm                  | charm:endermite_powder            | EntityEndermitePowder       |   0 |
| Charm                  | charm:spectre                     | EntitySpectre               |   2 |
| Clumps                 | clumps:xp_orb_big                 | EntityXPOrbBig              |   0 |
| CreativeCore           | creativecore:sit                  | EntitySit                   |   0 |
| Dimensional Doors      | dimdoors:mob_monolith             | EntityMonolith              |   0 |
| Exotic Birds           | exoticbirds:birdegg               | EntityBirdEgg               |  30 |
| Exotic Birds           | exoticbirds:bluejay               | EntityBluejay               |  26 |
| Exotic Birds           | exoticbirds:booby                 | EntityBooby                 |  24 |
| Exotic Birds           | exoticbirds:cardinal              | EntityCardinal              |  25 |
| Exotic Birds           | exoticbirds:cassowary             | EntityCassowary             |   0 |
| Exotic Birds           | exoticbirds:crane                 | EntityCrane                 |  28 |
| Exotic Birds           | exoticbirds:duck                  | EntityDuck                  |   1 |
| Exotic Birds           | exoticbirds:emperorpenguin        | EntityPenguinEmperor        |  14 |
| Exotic Birds           | exoticbirds:flamingo              | EntityFlamingo              |   2 |
| Exotic Birds           | exoticbirds:gouldianfinch         | EntityGouldianfinch         |   3 |
| Exotic Birds           | exoticbirds:heron                 | EntityHeron                 |  23 |
| Exotic Birds           | exoticbirds:hummingbird           | EntityHummingbird           |   4 |
| Exotic Birds           | exoticbirds:kingfisher            | EntityKingfisher            |   5 |
| Exotic Birds           | exoticbirds:kiwi                  | EntityKiwi                  |   6 |
| Exotic Birds           | exoticbirds:kookaburra            | EntityKookaburra            |  29 |
| Exotic Birds           | exoticbirds:lyrebird              | EntityLyrebird              |   7 |
| Exotic Birds           | exoticbirds:magpie                | EntityMagpie                |   8 |
| Exotic Birds           | exoticbirds:ostrich               | EntityOstrich               |   9 |
| Exotic Birds           | exoticbirds:owl                   | EntityOwl                   |  10 |
| Exotic Birds           | exoticbirds:parrot                | EntityParrot                |  11 |
| Exotic Birds           | exoticbirds:peafowl               | EntityPeafowl               |  12 |
| Exotic Birds           | exoticbirds:pelican               | EntityPelican               |  13 |
| Exotic Birds           | exoticbirds:phoenix               | EntityPhoenix               |  15 |
| Exotic Birds           | exoticbirds:pigeon                | EntityPigeon                |  16 |
| Exotic Birds           | exoticbirds:roadrunner            | EntityRoadrunner            |  17 |
| Exotic Birds           | exoticbirds:robin                 | EntityRobin                 |  27 |
| Exotic Birds           | exoticbirds:seagull               | EntitySeagull               |  18 |
| Exotic Birds           | exoticbirds:swan                  | EntitySwan                  |  19 |
