+---------------------------+-------------------------------------+-----------------------------+-----+
| Mod name                  | Registry name                       | Entity class name           |  ID |
+---------------------------+-------------------------------------+-----------------------------+-----+
| Advanced Fishing          | advanced-fishing:custom_fish_hook   | EntityCustomFishHook        |   0 |
| Advanced Fishing          | advanced-fishing:fireproof_item     | EntityFireproofItem         |   2 |
| Advanced Fishing          | advanced-fishing:lava_fish_hook     | EntityLavaFishHook          |   1 |
| BiblioCraft               | bibliocraft:biblioseat              | EntitySeat                  |   0 |
| Charm                     | charm:charged_emerald               | EntityChargedEmerald        |   1 |
| Charm                     | charm:spectre                       | EntitySpectre               |   2 |
| Clumps                    | clumps:xp_orb_big                   | EntityXPOrbBig              |   0 |
| Colored Redstone          | coloredredstone:entity_item_colored | EntityItemColored           |   0 |
| Dimensional Doors         | dimdoors:mob_monolith               | EntityMonolith              |   0 |
| Foundry                   | foundry:gun_skeleton                | EntitySkeletonGun           |   0 |
| Future MC                 | futuremc:bee                        | EntityBee                   |   4 |
| Future MC                 | futuremc:panda                      | EntityPanda                 |   3 |
| Future MC                 | futuremc:trident                    | EntityTrident               |   1 |
| Inspirations              | inspirations:arrow                  | EntityModArrow              |   0 |
| Minecraft                 | minecraft:area_effect_cloud         | EntityAreaEffectCloud       |   3 |
| Minecraft                 | minecraft:armor_stand               | EntityArmorStand            |  30 |
| Minecraft                 | minecraft:arrow                     | EntityTippedArrow           |  10 |
| Minecraft                 | minecraft:bat                       | EntityBat                   |  65 |
| Minecraft                 | minecraft:blaze                     | EntityBlaze                 |  61 |
| Minecraft                 | minecraft:boat                      | EntityBoat                  |  41 |
| Minecraft                 | minecraft:cave_spider               | EntityCaveSpider            |  59 |
| Minecraft                 | minecraft:chest_minecart            | EntityMinecartChest         |  43 |
| Minecraft                 | minecraft:chicken                   | EntityChicken               |  93 |
| Minecraft                 | minecraft:commandblock_minecart     | EntityMinecartCommandBlock  |  40 |
| Minecraft                 | minecraft:cow                       | EntityCow                   |  92 |
| Minecraft                 | minecraft:creeper                   | EntityCreeper               |  50 |
| Minecraft                 | minecraft:donkey                    | EntityDonkey                |  31 |
| Minecraft                 | minecraft:dragon_fireball           | EntityDragonFireball        |  26 |
| Minecraft                 | minecraft:egg                       | EntityEgg                   |   7 |
| Minecraft                 | minecraft:elder_guardian            | EntityElderGuardian         |   4 |
| Minecraft                 | minecraft:ender_crystal             | EntityEnderCrystal          | 200 |
| Minecraft                 | minecraft:ender_dragon              | EntityDragon                |  63 |
| Minecraft                 | minecraft:ender_pearl               | EntityEnderPearl            |  14 |
| Minecraft                 | minecraft:enderman                  | EntityEnderman              |  58 |
| Minecraft                 | minecraft:endermite                 | EntityEndermite             |  67 |
| Minecraft                 | minecraft:evocation_fangs           | EntityEvokerFangs           |  33 |
| Minecraft                 | minecraft:evocation_illager         | EntityEvoker                |  34 |
| Minecraft                 | minecraft:eye_of_ender_signal       | EntityEnderEye              |  15 |
| Minecraft                 | minecraft:falling_block             | EntityFallingBlock          |  21 |
| Minecraft                 | minecraft:fireball                  | EntityLargeFireball         |  12 |
