+------------------+---------+-------------+-----------+------------+----------+-----------+------------------------------------+
| Name             | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                              |
+------------------+---------+-------------+-----------+------------+----------+-----------+------------------------------------+
| aerotheum        |    -800 |         300 |       100 |          0 | RARE     |      true | thermalfoundation:fluid_aerotheum  |
| beetroot_soup    |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                  |
| biocrude         |    1500 |         300 |      2500 |          0 | COMMON   |     false | -                                  |
| blood            |    1000 |         300 |      3500 |          0 | COMMON   |     false | netherex:ichor                     |
| coal             |     900 |         300 |      2000 |          0 | COMMON   |     false | -                                  |
| creosote         |    1100 |         300 |      2000 |          0 | COMMON   |     false | -                                  |
| crude_oil        |     900 |         300 |      2000 |          0 | COMMON   |     false | thermalfoundation:fluid_crude_oil  |
| cryotheum        |    4000 |          50 |      4000 |          0 | RARE     |     false | thermalfoundation:fluid_cryotheum  |
| endacid          |    1100 |         300 |       900 |          5 | COMMON   |     false | stygian:endacid                    |
| ender            |    4000 |         300 |      2500 |          3 | UNCOMMON |     false | thermalfoundation:fluid_ender      |
| experience       |    -200 |         300 |       200 |         12 | UNCOMMON |      true | -                                  |
| fluid_honey      |    5000 |         300 |      5000 |          0 | COMMON   |     false | contenttweaker:fluid_honey         |
| glowstone        |    -500 |         300 |       100 |         15 | UNCOMMON |      true | thermalfoundation:fluid_glowstone  |
| lava             |    3000 |        1300 |      6000 |         15 | COMMON   |     false | minecraft:lava                     |
| mana             |     600 |         350 |      6000 |         15 | EPIC     |     false | thermalfoundation:fluid_mana       |
| milk             |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                  |
| mushroom_stew    |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                  |
| petrotheum       |    4000 |         350 |      1500 |          0 | RARE     |     false | thermalfoundation:fluid_petrotheum |
| potato_soup      |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                  |
| potion           |     500 |         300 |      1500 |          3 | UNCOMMON |     false | -                                  |
| potion_lingering |     500 |         300 |      1500 |          3 | UNCOMMON |     false | -                                  |
| potion_splash    |     500 |         300 |      1500 |          3 | UNCOMMON |     false | -                                  |
| pyrotheum        |    2000 |        4000 |      1200 |         15 | RARE     |     false | thermalfoundation:fluid_pyrotheum  |
| rabbit_stew      |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                  |
| redstone         |    1200 |         300 |      1500 |          7 | UNCOMMON |     false | thermalfoundation:fluid_redstone   |
| refined_biofuel  |     750 |         300 |       800 |          0 | COMMON   |     false | -                                  |
| refined_fuel     |     750 |         300 |       800 |          0 | COMMON   |     false | -                                  |
| refined_oil      |     800 |         300 |      1400 |          0 | COMMON   |     false | -                                  |
| resin            |     900 |         300 |      3000 |          0 | COMMON   |     false | -                                  |
| sap              |    1050 |         300 |      1500 |          0 | COMMON   |     false | -                                  |
| seed_oil         |     950 |         300 |      1300 |          0 | COMMON   |     false | -                                  |
| steam            |   -1000 |         750 |       200 |          0 | COMMON   |      true | -                                  |
| syrup            |    1400 |         300 |      2500 |          0 | COMMON   |     false | -                                  |
| tree_oil         |     900 |         300 |      1200 |          0 | COMMON   |     false | -                                  |
| water            |    1000 |         300 |      1000 |          0 | COMMON   |     false | minecraft:water                    |
+------------------+---------+-------------+-----------+------------+----------+-----------+------------------------------------+
| Name             | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                              |
+------------------+---------+-------------+-----------+------------+----------+-----------+------------------------------------+
