+-----------------------+---------+-------------+-----------+------------+----------+-----------+------------------------------------+
| Name                  | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                              |
+-----------------------+---------+-------------+-----------+------------+----------+-----------+------------------------------------+
| aerotheum             |    -800 |         300 |       100 |          0 | RARE     |      true | thermalfoundation:fluid_aerotheum  |
| amber                 |    1200 |         300 |      1200 |          6 | COMMON   |     false | cyclicmagic:amber                  |
| beetroot_soup         |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                  |
| biocrude              |    1500 |         300 |      2500 |          0 | COMMON   |     false | -                                  |
| biomass               |    1200 |         300 |      1200 |          6 | COMMON   |     false | cyclicmagic:biomass                |
| coal                  |     900 |         300 |      2000 |          0 | COMMON   |     false | -                                  |
| creosote              |    1100 |         300 |      2000 |          0 | COMMON   |     false | -                                  |
| crude_oil             |     900 |         300 |      2000 |          0 | COMMON   |     false | thermalfoundation:fluid_crude_oil  |
| cryotheum             |    4000 |          50 |      4000 |          0 | RARE     |     false | thermalfoundation:fluid_cryotheum  |
| crystal               |    1200 |         300 |      1200 |          6 | COMMON   |     false | cyclicmagic:crystal                |
| crystalfloe           |      40 |         500 |      1000 |         12 | COMMON   |     false | minestrapp:crystalfloe             |
| endacid               |    1100 |         300 |       900 |          5 | COMMON   |     false | stygian:endacid                    |
| ender                 |    4000 |         300 |      2500 |          3 | UNCOMMON |     false | thermalfoundation:fluid_ender      |
| experience            |    -200 |         300 |       200 |         12 | UNCOMMON |      true | -                                  |
| glow_paste            |    2000 |         300 |      2000 |          8 | COMMON   |     false | contenttweaker:glow_paste          |
| glowstone             |    -500 |         300 |       100 |         15 | UNCOMMON |      true | thermalfoundation:fluid_glowstone  |
| honey                 |    5000 |         300 |      5000 |          0 | COMMON   |     false | contenttweaker:honey               |
| ichor                 |    1000 |         300 |      3500 |          0 | COMMON   |     false | netherex:ichor                     |
| lava                  |    3000 |        1300 |      6000 |         15 | COMMON   |     false | minecraft:lava                     |
| liquidalumina         |    2000 |        2100 |      1000 |         12 | COMMON   |     false | foundry:liquidalumina              |
| liquidaluminium       |    2000 |         900 |      1000 |          0 | COMMON   |     false | foundry:liquidaluminium            |
| liquidbrass           |    2000 |        1200 |      1000 |         15 | COMMON   |     false | foundry:liquidbrass                |
| liquidbronze          |    2000 |        1200 |      1000 |         15 | COMMON   |     false | foundry:liquidbronze               |
| liquidcopper          |    2000 |        1300 |      1000 |         15 | COMMON   |     false | foundry:liquidcopper               |
| liquidcupronickel     |    2000 |        1750 |      1000 |         15 | COMMON   |     false | foundry:liquidcupronickel          |
| liquidelectrum        |    2000 |        1350 |      1000 |         15 | COMMON   |     false | foundry:liquidelectrum             |
| liquidenderium        |    2000 |        3800 |      1000 |         12 | COMMON   |     false | foundry:liquidenderium             |
| liquidglass           |    2000 |        1550 |      1000 |         12 | COMMON   |     false | foundry:liquidglass                |
| liquidglassblack      |    2000 |        1550 |      1000 |         12 | COMMON   |     false | foundry:liquidglassblack           |
| liquidglassblue       |    2000 |        1550 |      1000 |         12 | COMMON   |     false | foundry:liquidglassblue            |
| liquidglassbrown      |    2000 |        1550 |      1000 |         12 | COMMON   |     false | foundry:liquidglassbrown           |
| liquidglasscyan       |    2000 |        1550 |      1000 |         12 | COMMON   |     false | foundry:liquidglasscyan            |
| liquidglassgray       |    2000 |        1550 |      1000 |         12 | COMMON   |     false | foundry:liquidglassgray            |
