+-----------------------------------------------------+-----+
| Registry name                                       |  ID |
+-----------------------------------------------------+-----+
| apotheosis:altar_sound                              | 759 |
| backportedflora:block.seaweed.break                 | 585 |
| backportedflora:block.seaweed.fall                  | 589 |
| backportedflora:block.seaweed.footsteps             | 586 |
| backportedflora:block.seaweed.hit                   | 588 |
| backportedflora:block.seaweed.place                 | 587 |
| blockhead:discovered                                | 549 |
| charm:above_stronghold                              | 773 |
| charm:bookshelf_close                               | 765 |
| charm:bookshelf_open                                | 764 |
| charm:ender_resonance                               | 774 |
| charm:homing                                        | 771 |
| charm:little_fire                                   | 766 |
| charm:spectre_ambient                               | 767 |
| charm:spectre_disappear                             | 768 |
| charm:spectre_hit                                   | 769 |
| charm:spectre_move                                  | 770 |
| charm:whispers                                      | 772 |
| charm:wood_close                                    | 762 |
| charm:wood_open                                     | 761 |
| charm:wood_smash                                    | 763 |
| charset:block.crank                                 | 760 |
| chisel:dirt_chisel                                  | 557 |
| chisel:fallback                                     | 555 |
| chisel:metal_break                                  | 550 |
| chisel:metal_fall                                   | 551 |
| chisel:metal_hit                                    | 552 |
| chisel:metal_place                                  | 553 |
| chisel:metal_step                                   | 554 |
| chisel:wood_chisel                                  | 556 |
| cookingforblockheads:fridge_close                   | 591 |
| cookingforblockheads:fridge_open                    | 590 |
| cookingforblockheads:oven_close                     | 593 |
| cookingforblockheads:oven_open                      | 592 |
| cookingforblockheads:toaster_start                  | 594 |
| cookingforblockheads:toaster_stop                   | 595 |
| dimdoors:crack                                      | 775 |
| dimdoors:creepy                                     | 776 |
| dimdoors:door_lock_removed                          | 778 |
| dimdoors:door_locked                                | 777 |
| dimdoors:key_lock                                   | 779 |
| dimdoors:key_unlock                                 | 780 |
| dimdoors:monk                                       | 781 |
| dimdoors:rift                                       | 782 |
| dimdoors:rift_close                                 | 783 |
| dimdoors:rift_door                                  | 784 |
| dimdoors:rift_end                                   | 785 |
| dimdoors:rift_start                                 | 786 |
| dimdoors:tearing                                    | 787 |
| foundry:revolver_fire                               | 795 |
| foundry:shotgun_cock                                | 797 |
| foundry:shotgun_fire                                | 796 |
| futuremc:ancient_debris_break                       | 684 |
| futuremc:ancient_debris_fall                        | 688 |
| futuremc:ancient_debris_hit                         | 687 |
| futuremc:ancient_debris_place                       | 686 |
| futuremc:ancient_debris_step                        | 685 |
| futuremc:bamboo_place                               | 629 |
| futuremc:bamboo_sapling_hit                         | 631 |
| futuremc:bamboo_sapling_place                       | 630 |
| futuremc:bamboo_step                                | 628 |
| futuremc:bee_aggressive                             | 651 |
| futuremc:bee_death                                  | 647 |
| futuremc:bee_enter_hive                             | 644 |
| futuremc:bee_exit_hive                              | 645 |
| futuremc:bee_hurt                                   | 648 |
| futuremc:bee_passive                                | 652 |
| futuremc:bee_pollinate                              | 649 |
| futuremc:bee_sting                                  | 646 |
| futuremc:bee_work                                   | 650 |
| futuremc:bell_ring                                  | 643 |
| futuremc:bucket_empty_fish                          | 658 |
| futuremc:bucket_fill_fish                           | 657 |
| futuremc:campfire_crackle                           | 611 |
| futuremc:cod_death                                  | 662 |
| futuremc:cod_flop                                   | 660 |
| futuremc:cod_hurt                                   | 661 |
| futuremc:cod_swim                                   | 659 |
| futuremc:composter_empty                            | 613 |
| futuremc:composter_fill                             | 614 |
| futuremc:composter_fill_success                     | 615 |
| futuremc:composter_ready                            | 616 |
| futuremc:coral_dig                                  | 641 |
| futuremc:coral_step                                 | 642 |
| futuremc:crossbow_loading_end                       | 610 |
| futuremc:crossbow_loading_middle                    | 609 |
| futuremc:crossbow_loading_start                     | 608 |
| futuremc:crossbow_shoot                             | 604 |
| futuremc:grindstone_use                             | 612 |
| futuremc:honey_block_break                          | 637 |
| futuremc:honey_block_slide                          | 639 |
| futuremc:honey_block_step                           | 638 |
| futuremc:honey_bottle_drink                         | 653 |
| futuremc:iron_golem_repair                          | 678 |
| futuremc:lantern_break                              | 655 |
| futuremc:lantern_place                              | 656 |
| futuremc:loyalty                                    | 600 |
| futuremc:nether_sprouts_break                       | 704 |
| futuremc:nether_sprouts_fall                        | 708 |
| futuremc:nether_sprouts_hit                         | 707 |
| futuremc:nether_sprouts_place                       | 706 |
| futuremc:nether_sprouts_step                        | 705 |
| futuremc:nether_stem_break                          | 699 |
| futuremc:nether_stem_fall                           | 703 |
| futuremc:nether_stem_hit                            | 702 |
| futuremc:nether_stem_place                          | 701 |
| futuremc:nether_stem_step                           | 700 |
| futuremc:netherite_block_break                      | 679 |
| futuremc:netherite_block_fall                       | 683 |
| futuremc:netherite_block_hit                        | 682 |
| futuremc:netherite_block_place                      | 681 |
| futuremc:netherite_block_step                       | 680 |
| futuremc:nylium_break                               | 694 |
| futuremc:nylium_fall                                | 698 |
| futuremc:nylium_hit                                 | 697 |
| futuremc:nylium_place                               | 696 |
| futuremc:nylium_step                                | 695 |
| futuremc:panda_aggressive_ambient                   | 624 |
| futuremc:panda_ambient                              | 619 |
| futuremc:panda_bite                                 | 627 |
| futuremc:panda_cannot_breed                         | 623 |
| futuremc:panda_death                                | 620 |
| futuremc:panda_eat                                  | 621 |
| futuremc:panda_hurt                                 | 626 |
| futuremc:panda_pre_sneeze                           | 617 |
| futuremc:panda_sneeze                               | 618 |
| futuremc:panda_step                                 | 622 |
| futuremc:panda_worried_ambient                      | 625 |
| futuremc:pufferfish_death                           | 666 |
| futuremc:pufferfish_deflate                         | 668 |
| futuremc:pufferfish_flop                            | 664 |
| futuremc:pufferfish_hurt                            | 665 |
| futuremc:pufferfish_inflate                         | 667 |
| futuremc:pufferfish_sting                           | 669 |
| futuremc:pufferfish_swim                            | 663 |
| futuremc:quick_charge_i                             | 605 |
| futuremc:quick_charge_ii                            | 606 |
| futuremc:quick_charge_iii                           | 607 |
| futuremc:riptide_i                                  | 601 |
| futuremc:riptide_ii                                 | 602 |
| futuremc:riptide_iii                                | 603 |
| futuremc:roots_break                                | 709 |
| futuremc:roots_fall                                 | 713 |
| futuremc:roots_hit                                  | 712 |
| futuremc:roots_place                                | 711 |
| futuremc:roots_step                                 | 710 |
| futuremc:salmon_death                               | 673 |
| futuremc:salmon_flop                                | 671 |
| futuremc:salmon_hurt                                | 672 |
| futuremc:salmon_swim                                | 670 |
| futuremc:scaffold_break                             | 632 |
| futuremc:scaffold_fall                              | 636 |
| futuremc:scaffold_hit                               | 635 |
| futuremc:scaffold_place                             | 634 |
| futuremc:scaffold_step                              | 633 |
| futuremc:shear_hive                                 | 654 |
| futuremc:soul_soil_break                            | 689 |
| futuremc:soul_soil_fall                             | 693 |
| futuremc:soul_soil_hit                              | 692 |
| futuremc:soul_soil_place                            | 691 |
| futuremc:soul_soil_step                             | 690 |
| futuremc:stonecutter_carve                          | 640 |
| futuremc:trident_channeling                         | 599 |
| futuremc:trident_impact                             | 598 |
| futuremc:trident_pierce                             | 597 |
| futuremc:trident_throw                              | 596 |
| futuremc:tropical_fish_death                        | 677 |
| futuremc:tropical_fish_flop                         | 675 |
| futuremc:tropical_fish_hurt                         | 676 |
| futuremc:tropical_fish_swim                         | 674 |
| minecraft:ambient.cave                              |   0 |
| minecraft:block.anvil.break                         |   1 |
| minecraft:block.anvil.destroy                       |   2 |
| minecraft:block.anvil.fall                          |   3 |
| minecraft:block.anvil.hit                           |   4 |
| minecraft:block.anvil.land                          |   5 |
| minecraft:block.anvil.place                         |   6 |
| minecraft:block.anvil.step                          |   7 |
| minecraft:block.anvil.use                           |   8 |
| minecraft:block.brewing_stand.brew                  |   9 |
| minecraft:block.chest.close                         |  10 |
| minecraft:block.chest.locked                        |  11 |
| minecraft:block.chest.open                          |  12 |
| minecraft:block.chorus_flower.death                 |  13 |
| minecraft:block.chorus_flower.grow                  |  14 |
| minecraft:block.cloth.break                         |  15 |
| minecraft:block.cloth.fall                          |  16 |
| minecraft:block.cloth.hit                           |  17 |
| minecraft:block.cloth.place                         |  18 |
| minecraft:block.cloth.step                          |  19 |
| minecraft:block.comparator.click                    |  20 |
| minecraft:block.dispenser.dispense                  |  21 |
| minecraft:block.dispenser.fail                      |  22 |
| minecraft:block.dispenser.launch                    |  23 |
| minecraft:block.enchantment_table.use               |  24 |
| minecraft:block.end_gateway.spawn                   |  25 |
| minecraft:block.end_portal.spawn                    |  26 |
| minecraft:block.end_portal_frame.fill               |  27 |
| minecraft:block.enderchest.close                    |  28 |
| minecraft:block.enderchest.open                     |  29 |
| minecraft:block.fence_gate.close                    |  30 |
| minecraft:block.fence_gate.open                     |  31 |
| minecraft:block.fire.ambient                        |  32 |
| minecraft:block.fire.extinguish                     |  33 |
| minecraft:block.furnace.fire_crackle                |  34 |
| minecraft:block.glass.break                         |  35 |
| minecraft:block.glass.fall                          |  36 |
| minecraft:block.glass.hit                           |  37 |
| minecraft:block.glass.place                         |  38 |
| minecraft:block.glass.step                          |  39 |
| minecraft:block.grass.break                         |  40 |
| minecraft:block.grass.fall                          |  41 |
| minecraft:block.grass.hit                           |  42 |
| minecraft:block.grass.place                         |  43 |
| minecraft:block.grass.step                          |  44 |
| minecraft:block.gravel.break                        |  45 |
| minecraft:block.gravel.fall                         |  46 |
| minecraft:block.gravel.hit                          |  47 |
| minecraft:block.gravel.place                        |  48 |
| minecraft:block.gravel.step                         |  49 |
| minecraft:block.iron_door.close                     |  50 |
| minecraft:block.iron_door.open                      |  51 |
| minecraft:block.iron_trapdoor.close                 |  52 |
| minecraft:block.iron_trapdoor.open                  |  53 |
| minecraft:block.ladder.break                        |  54 |
| minecraft:block.ladder.fall                         |  55 |
| minecraft:block.ladder.hit                          |  56 |
| minecraft:block.ladder.place                        |  57 |
| minecraft:block.ladder.step                         |  58 |
| minecraft:block.lava.ambient                        |  59 |
| minecraft:block.lava.extinguish                     |  60 |
| minecraft:block.lava.pop                            |  61 |
| minecraft:block.lever.click                         |  62 |
| minecraft:block.metal.break                         |  63 |
| minecraft:block.metal.fall                          |  64 |
| minecraft:block.metal.hit                           |  65 |
