+-----------------------------------------------------------------------------------+------------------------------------------------+----------+
| Class                                                                             | Registry name                                  | Ticking? |
+-----------------------------------------------------------------------------------+------------------------------------------------+----------+
| com.blakebr0.extendedcrafting.tile.TileAdvancedCraftingTable                      | minecraft:ec_advanced_table                    |        - |
| com.blakebr0.extendedcrafting.tile.TileBasicCraftingTable                         | minecraft:ec_basic_table                       |        - |
| com.blakebr0.extendedcrafting.tile.TileEliteCraftingTable                         | minecraft:ec_elite_table                       |        - |
| com.blakebr0.extendedcrafting.tile.TileUltimateCraftingTable                      | minecraft:ec_ultimate_table                    |        - |
| com.creativemd.littletiles.common.tileentity.TileEntityLittleTiles                | minecraft:littletilestileentity                |        - |
| com.creativemd.littletiles.common.tileentity.TileEntityLittleTilesRendered        | minecraft:littletilestileentityrendered        |        - |
| com.creativemd.littletiles.common.tileentity.TileEntityLittleTilesTicking         | minecraft:littletilestileentityticking         |      yes |
| com.creativemd.littletiles.common.tileentity.TileEntityLittleTilesTickingRendered | minecraft:littletilestileentitytickingrendered |      yes |
| com.creativemd.littletiles.common.tileentity.TileEntityParticle                   | minecraft:littletilesparticle                  |      yes |
| com.creativemd.opf.block.TileEntityPicFrame                                       | minecraft:opframetileentity                    |      yes |
| com.mart.display.common.tile.TileDisplay                                          | minecraft:displaydisplay                       |      yes |
| com.pam.harvestcraft.tileentities.TileEntityApiary                                | minecraft:pamapiary                            |      yes |
| com.pam.harvestcraft.tileentities.TileEntityGrinder                               | minecraft:pamgrinder                           |      yes |
| com.pam.harvestcraft.tileentities.TileEntityGroundTrap                            | minecraft:pamgroundtrap                        |      yes |
| com.pam.harvestcraft.tileentities.TileEntityMarket                                | minecraft:pammarket                            |        - |
| com.pam.harvestcraft.tileentities.TileEntityPresser                               | minecraft:pampresser                           |      yes |
| com.pam.harvestcraft.tileentities.TileEntityShippingBin                           | minecraft:pamshippingbin                       |        - |
| com.pam.harvestcraft.tileentities.TileEntityWaterFilter                           | minecraft:pamwaterfilter                       |      yes |
| com.pam.harvestcraft.tileentities.TileEntityWaterTrap                             | minecraft:pamwatertrap                         |      yes |
| com.tfar.craftingstation.CraftingStationTile                                      | craftingstation:crafting_station_tile          |        - |
| com.zeitheron.hammercore.internal.blocks.multipart.TileMultipart                  | hammercore:tilemultipart                       |      yes |
| com.zeitheron.hammercore.tile.TileLyingItem                                       | hammercore:tilelyingitem                       |        - |
| ejektaflex.bountiful.block.TileEntityBountyBoard                                  | bountiful:bountyboard                          |      yes |
| epicsquid.blockcraftery.tile.TileEditableBlock                                    | blockcraftery:tile_editable_block              |        - |
| fi.dy.masa.lowtechcrafting.tileentity.TileEntityCrafting                          | lowtechcrafting:crafting_table                 |        - |
| forestry.arboriculture.tiles.TileArboristChest                                    | forestry:arb_chest                             |      yes |
| forestry.arboriculture.tiles.TileFruitPod                                         | forestry:pods                                  |        - |
| forestry.arboriculture.tiles.TileLeaves                                           | forestry:leaves                                |        - |
| forestry.arboriculture.tiles.TileSapling                                          | forestry:sapling                               |        - |
| forestry.climatology.tiles.TileHabitatFormer                                      | forestry:habitat_former                        |      yes |
| forestry.core.tiles.TileAnalyzer                                                  | forestry:analyzer                              |      yes |
| forestry.core.tiles.TileEscritoire                                                | forestry:escritoire                            |      yes |
| forestry.mail.tiles.TileMailbox                                                   | forestry:mailbox                               |      yes |
| forestry.mail.tiles.TileStampCollector                                            | forestry:stamp_collector                       |      yes |
| forestry.mail.tiles.TileTrader                                                    | forestry:trade_station                         |      yes |
| ganymedes01.headcrumbs.tileentities.TileEntityBlockPlayer                         | headcrumbs:headcrumbs.player                   |      yes |
| ganymedes01.headcrumbs.tileentities.TileEntityBlockSkull                          | headcrumbs:headcrumbs.head                     |      yes |
| jds.bibliocraft.tileentities.BiblioLightTileEntity                                | minecraft:bibliolight                          |        - |
| jds.bibliocraft.tileentities.TileEntityBell                                       | minecraft:bell                                 |      yes |
| jds.bibliocraft.tileentities.TileEntityCase                                       | minecraft:case                                 |        - |
| jds.bibliocraft.tileentities.TileEntityClipboard                                  | minecraft:clipboard                            |        - |
| jds.bibliocraft.tileentities.TileEntityClock                                      | minecraft:clock                                |      yes |
| jds.bibliocraft.tileentities.TileEntityCookieJar                                  | minecraft:cookiejar                            |      yes |
| jds.bibliocraft.tileentities.TileEntityDinnerPlate                                | minecraft:dinnerplate                          |        - |
| jds.bibliocraft.tileentities.TileEntityDiscRack                                   | minecraft:discrack                             |        - |
| jds.bibliocraft.tileentities.TileEntityFancySign                                  | minecraft:fancysign                            |        - |
| jds.bibliocraft.tileentities.TileEntityFurniturePaneler                           | minecraft:furniturepaneler                     |        - |
| jds.bibliocraft.tileentities.TileEntityLabel                                      | minecraft:label                                |        - |
| jds.bibliocraft.tileentities.TileEntityPotionShelf                                | minecraft:potionshelf                          |        - |
| jds.bibliocraft.tileentities.TileEntitySeat                                       | minecraft:seat                                 |      yes |
| jds.bibliocraft.tileentities.TileEntityShelf                                      | minecraft:shelf                                |        - |
| jds.bibliocraft.tileentities.TileEntitySwordPedestal                              | minecraft:swordpedestal                        |        - |
| jds.bibliocraft.tileentities.TileEntityTable                                      | minecraft:table                                |      yes |
| jds.bibliocraft.tileentities.TileEntityToolRack                                   | minecraft:toolrack                             |        - |
| knightminer.inspirations.building.tileentity.TileBookshelf                        | inspirations:bookshelf                         |        - |
| knightminer.inspirations.recipes.tileentity.TileCauldron                          | inspirations:cauldron                          |        - |
| logictechcorp.netherex.tileentity.TileEntityPossessedSoulSand                     | netherex:possessed_soul_sand                   |        - |
| logictechcorp.netherex.tileentity.TileEntityUrnOfSorrow                           | netherex:urn_of_sorrow                         |      yes |
| mal.lootbags.tileentity.TileEntityOpener                                          | lootbags:tileentityopener                      |      yes |
| mal.lootbags.tileentity.TileEntityRecycler                                        | lootbags:tileentityrecycler                    |      yes |
| mal.lootbags.tileentity.TileEntityStorage                                         | lootbags:_tileentitystorage                    |      yes |
| mcmultipart.block.TileMultipartContainer                                          | mcmultipart:multipart.nonticking               |        - |
| mcmultipart.block.TileMultipartContainer$Ticking                                  | mcmultipart:multipart.ticking                  |      yes |
| net.blay09.mods.cookingforblockheads.tile.TileCabinet                             | cookingforblockheads:cabinet                   |      yes |
| net.blay09.mods.cookingforblockheads.tile.TileCookingTable                        | cookingforblockheads:cooking_table             |        - |
| net.blay09.mods.cookingforblockheads.tile.TileCorner                              | cookingforblockheads:corner                    |        - |
| net.blay09.mods.cookingforblockheads.tile.TileCounter                             | cookingforblockheads:counter                   |      yes |
| net.blay09.mods.cookingforblockheads.tile.TileCowJar                              | cookingforblockheads:cow_jar                   |      yes |
| net.blay09.mods.cookingforblockheads.tile.TileCuttingBoard                        | cookingforblockheads:cutting_board             |        - |
| net.blay09.mods.cookingforblockheads.tile.TileFridge                              | cookingforblockheads:fridge                    |      yes |
| net.blay09.mods.cookingforblockheads.tile.TileFruitBasket                         | cookingforblockheads:fruit_basket              |        - |
| net.blay09.mods.cookingforblockheads.tile.TileMilkJar                             | cookingforblockheads:milk_jar                  |        - |
| net.blay09.mods.cookingforblockheads.tile.TileOven                                | cookingforblockheads:oven                      |      yes |
| net.blay09.mods.cookingforblockheads.tile.TileSink                                | cookingforblockheads:sink                      |        - |
| net.blay09.mods.cookingforblockheads.tile.TileSpiceRack                           | cookingforblockheads:spice_rack                |        - |
| net.blay09.mods.cookingforblockheads.tile.TileToaster                             | cookingforblockheads:toaster                   |      yes |
| net.blay09.mods.cookingforblockheads.tile.TileToolRack                            | cookingforblockheads:tool_rack                 |        - |
| net.darkhax.mobbanners.tile.TileEntityMobBanner                                   | mobbanners:mob_banner                          |      yes |
| net.fybertech.hopperducts.TileEntityGratedHopper                                  | minecraft:tileentitygratedhopper               |      yes |
| net.fybertech.hopperducts.TileEntityHopperDuct                                    | minecraft:tileentityhopperduct                 |      yes |
| net.minecraft.block.BlockJukebox$TileEntityJukebox                                | minecraft:jukebox                              |        - |
| net.minecraft.tileentity.TileEntityBanner                                         | minecraft:banner                               |        - |
| net.minecraft.tileentity.TileEntityBeacon                                         | minecraft:beacon                               |      yes |
| net.minecraft.tileentity.TileEntityBed                                            | minecraft:bed                                  |        - |
| net.minecraft.tileentity.TileEntityBrewingStand                                   | minecraft:brewing_stand                        |      yes |
| net.minecraft.tileentity.TileEntityChest                                          | minecraft:chest                                |      yes |
| net.minecraft.tileentity.TileEntityCommandBlock                                   | minecraft:command_block                        |        - |
| net.minecraft.tileentity.TileEntityComparator                                     | minecraft:comparator                           |        - |
| net.minecraft.tileentity.TileEntityDaylightDetector                               | minecraft:daylight_detector                    |      yes |
| net.minecraft.tileentity.TileEntityDispenser                                      | minecraft:dispenser                            |        - |
| net.minecraft.tileentity.TileEntityDropper                                        | minecraft:dropper                              |        - |
| net.minecraft.tileentity.TileEntityEnchantmentTable                               | minecraft:enchanting_table                     |      yes |
| net.minecraft.tileentity.TileEntityEndGateway                                     | minecraft:end_gateway                          |      yes |
| net.minecraft.tileentity.TileEntityEndPortal                                      | minecraft:end_portal                           |        - |
| net.minecraft.tileentity.TileEntityEnderChest                                     | minecraft:ender_chest                          |      yes |
| net.minecraft.tileentity.TileEntityFlowerPot                                      | minecraft:flower_pot                           |        - |
| net.minecraft.tileentity.TileEntityNote                                           | minecraft:noteblock                            |        - |
| net.minecraft.tileentity.TileEntityPiston                                         | minecraft:piston                               |      yes |
| net.minecraft.tileentity.TileEntityShulkerBox                                     | minecraft:shulker_box                          |      yes |
| net.minecraft.tileentity.TileEntitySign                                           | minecraft:sign                                 |        - |
| net.minecraft.tileentity.TileEntitySkull                                          | minecraft:skull                                |      yes |
| net.minecraft.tileentity.TileEntityStructure                                      | minecraft:structure_block                      |        - |
| org.dimdev.dimdoors.shared.tileentities.TileEntityEntranceRift                    | dimdoors:entrance_rift                         |        - |
| org.dimdev.dimdoors.shared.tileentities.TileEntityFloatingRift                    | dimdoors:floating_rift                         |      yes |
| pl.asie.charset.lib.wires.TileWire                                                | charset:wire                                   |        - |
| pl.asie.charset.lib.wires.TileWire$Tickable                                       | charset:wire.tickable                          |      yes |
| pl.asie.foamfix.common.TileEntityFasterHopper                                     | minecraft:hopper                               |      yes |
| pl.asie.preston.container.TileCompressedBlock                                     | preston:compressed_block                       |        - |
| pl.asie.simplelogic.gates.PartGate                                                | charset:logic_gate                             |      yes |
| quaternary.simpletrophies.common.tile.TileSimpleTrophy                            | simple_trophies:trophy                         |        - |
| sandro.RedstonePlusPlus.Modules.ImprovedPistons.Pistons.TileEntityPistonFix       | minecraft:piston_fix                           |      yes |
| sandro.RedstonePlusPlus.Modules.ImprovedPistons.Rotators.TileEntityRotator        | minecraft:rotator_moving                       |      yes |
| sandro.RedstonePlusPlus.Modules.ImprovedSkulls.TileEntitySkullFix                 | minecraft:skull_fix                            |      yes |
| shadows.ench.altar.TilePrismaticAltar                                             | apotheosis:prismatic_altar                     |      yes |
| shadows.ench.anvil.TileAnvil                                                      | apotheosis:anvil                               |        - |
| shadows.fastfurnace.block.TileFastFurnace                                         | minecraft:furnace                              |      yes |
| shadows.plants2.tile.TileBrewingCauldron                                          | plants2:brewing_cauldron                       |        - |
| shadows.plants2.tile.TileFlowerpot                                                | plants2:flowerpot                              |        - |
| shadows.spawn.TileSpawnerExt                                                      | minecraft:mob_spawner                          |      yes |
| squirtle8459.betterfarmland.entity.TileEntityCropVacuum                           | minecraft:betterfarmlandcropvacuum             |      yes |
| svenhjol.charm.crafting.tile.TileBarrel                                           | charm:barrel                                   |        - |
| svenhjol.charm.crafting.tile.TileCrate                                            | charm:crate                                    |        - |
| svenhjol.charm.world.tile.TileRunePortal                                          | charm:rune_portal                              |        - |
| svenhjol.charm.world.tile.TileRunePortalFrame                                     | charm:rune_portal_frame                        |        - |
| t145.metalchests.tiles.TileMetalChest                                             | metalchests:tilemetalchest                     |      yes |
| team.chisel.common.block.TileAutoChisel                                           | chisel:auto_chisel                             |      yes |
| thedarkcolour.futuremc.tile.BeeHiveTile                                           | futuremc:beehive                               |      yes |
| thedarkcolour.futuremc.tile.BellTileEntity                                        | futuremc:bell                                  |      yes |
| thedarkcolour.futuremc.tile.CampfireTile                                          | futuremc:campfire                              |      yes |
| thedarkcolour.futuremc.tile.TileComposter                                         | futuremc:composter                             |        - |
| thedarkcolour.futuremc.tile.TileFurnaceAdvanced$TileBlastFurnace                  | futuremc:blast_furnace                         |      yes |
| thedarkcolour.futuremc.tile.TileFurnaceAdvanced$TileSmoker                        | futuremc:smoker                                |      yes |
| uppers.tiles.TileEntityUpper                                                      | minecraft:tile.uppers.upper                    |      yes |
| vazkii.quark.automation.tile.TileChute                                            | quark:chute                                    |        - |
| vazkii.quark.automation.tile.TileInductor                                         | quark:inductor                                 |        - |
| vazkii.quark.automation.tile.TileRainDetector                                     | quark:rain_detector                            |      yes |
